latitude,longitude,brightness,scan,track,insert_time,satellite_date,confidence,bright_t31,frp,result
19.02293,99.40687,334.6,0.48,0.48,14:00:00,4/3/2020,nominal,302.1,2.8,YES
19.02355,99.40904,309.9,0.38,0.36,2:00:00,4/3/2020,nominal,292.3,0.7,YES
19.02412,99.4054,302.4,0.38,0.36,2:00:00,4/3/2020,nominal,292.4,0.7,YES
19.04076,99.38596,304.2,0.38,0.36,2:00:00,4/3/2020,nominal,292,0.3,NO
19.04134,99.38235,307.8,0.38,0.36,2:00:00,4/3/2020,nominal,293.5,1,NO
19.04134,99.38235,307.8,0.38,0.36,2:00:00,4/3/2020,nominal,293.5,1.1,NO
19.08728,99.34449,309.5,0.57,0.69,1:06:00,4/3/2020,nominal,290.5,1.3,YES
19.08796,99.34599,305.9,0.38,0.36,2:00:00,4/3/2020,nominal,290.9,0.8,YES
19.08802,99.34508,306.8,0.61,0.71,2:48:00,4/3/2020,nominal,290.4,1.3,YES
19.08823,99.45077,325,0.38,0.36,2:00:00,4/3/2020,nominal,297.2,3.4,YES
19.089,99.352,319.6,1.2,1.1,13:35:00,4/3/2020,35,303,12.3,YES
19.09102,99.44784,304.7,0.56,0.69,1:06:00,4/3/2020,nominal,294.2,1.7,YES
19.09126,99.34657,310,0.38,0.36,2:00:00,4/3/2020,nominal,291.5,1.1,NO
19.09153,99.45138,335.5,0.38,0.36,2:00:00,4/3/2020,nominal,299.1,3.4,YES
19.09165,99.34856,334,0.43,0.46,13:06:00,4/3/2020,nominal,303.1,4.9,NO
19.092,99.345,333,1.2,1.1,13:35:00,4/3/2020,80,305.1,33.3,NO
19.09206,99.3483,343.8,0.48,0.48,14:00:00,4/3/2020,nominal,305.9,12.9,NO
19.093,99.351,315.1,3.1,1.7,10:25:00,4/3/2020,54,300.6,40.8,NO
19.09357,99.34636,303.2,0.57,0.69,1:06:00,4/3/2020,nominal,290.6,1,NO
19.09514,99.3435,325.9,0.38,0.36,2:00:00,4/3/2020,nominal,292.2,1.1,NO
19.09592,99.34808,342.3,0.43,0.46,13:06:00,4/3/2020,nominal,311,14.5,NO
19.09592,99.34808,342.4,0.43,0.46,13:06:00,4/3/2020,nominal,311,14.4,NO
19.09641,99.34723,344.7,0.48,0.48,14:00:00,4/3/2020,nominal,308.4,7.6,NO
19.09653,99.35141,331.4,0.43,0.46,13:06:00,4/3/2020,nominal,301.5,9.5,NO
19.09653,99.35141,331.4,0.43,0.46,13:06:00,4/3/2020,nominal,301.5,9.6,NO
19.09711,99.35325,338.7,0.48,0.48,14:00:00,4/3/2020,nominal,303.2,7.2,NO
19.098,99.351,304.1,1.7,1.3,23:00:00,4/3/2020,20,294,8,NO
19.0983,99.34012,340.7,0.43,0.46,13:06:00,4/3/2020,nominal,301.9,4.6,NO
19.09874,99.3398,339.7,0.44,0.46,13:06:00,4/3/2020,nominal,300.5,4.3,NO
19.09972,99.34757,350.9,0.43,0.46,13:06:00,4/3/2020,nominal,309.3,18.1,NO
19.10013,99.34734,346.9,0.43,0.46,13:06:00,4/3/2020,nominal,306,14.4,NO
19.10013,99.34734,346.9,0.43,0.46,13:06:00,4/3/2020,nominal,306,14.5,NO
19.10023,99.34168,340.1,0.48,0.48,14:00:00,4/3/2020,nominal,305.9,7.6,NO
19.10075,99.35069,336.4,0.43,0.46,13:06:00,4/3/2020,nominal,300.6,9.5,NO
19.10075,99.35069,336.4,0.43,0.46,13:06:00,4/3/2020,nominal,300.6,9.6,NO
19.10081,99.34665,341.1,0.48,0.48,14:00:00,4/3/2020,nominal,303.5,7.6,NO
19.109,99.35,334.1,1.7,1.3,23:00:00,4/3/2020,100,296.5,70.5,NO
19.18235,99.49674,315.5,0.38,0.36,2:00:00,4/3/2020,nominal,296.5,1.5,YES
19.19039,99.31094,334.7,0.48,0.48,14:00:00,4/3/2020,nominal,302,5.7,NO
19.1927,99.40317,344.3,0.43,0.46,13:06:00,4/3/2020,nominal,306.3,4.1,NO
19.19864,99.30891,321.1,0.38,0.36,2:00:00,4/3/2020,nominal,293.5,1.5,NO
