brightness,scan,track,confidence,bright_t31,frp
335,0.51,0.49,nominal,306.6,5.4
333.9,0.5,0.49,nominal,307.9,4.5
346.5,0.52,0.5,nominal,314.7,11
351.9,0.51,0.49,nominal,311.7,36.4
340.7,0.51,0.49,nominal,304.9,21.3
350.3,0.51,0.49,nominal,313.9,21.3
354.7,0.51,0.49,nominal,309.6,11
309.7,0.56,0.68,nominal,294.8,4.3
317.5,0.56,0.68,nominal,296.1,4.3
311.3,0.54,0.68,nominal,295.9,2.7
314.3,0.67,0.74,nominal,294.5,6.4
367,0.49,0.49,high,311.7,17.3
335.5,0.5,0.49,low,310.1,5.6
350.2,0.5,0.49,nominal,314.5,5.6
367,0.5,0.49,high,317.5,11.5
333.3,0.48,0.48,low,306.4,8.8
304.7,0.56,0.69,nominal,294.2,1.7
306.8,0.61,0.71,nominal,290.4,1.3
309.5,0.57,0.69,nominal,290.5,1.3
334.6,0.48,0.48,nominal,302.1,2.8
333.9,1.1,1,82,310.3,25.5
341.6,1.1,1.1,89,309.3,42.2
327.2,1,1,72,309.7,13.3
323.1,1.1,1,61,306.7,10.2
332.1,1.1,1,80,307.8,22.4
362.3,1.1,1.1,100,309.9,98.6
344.5,1.1,1.1,90,308.9,48.7
321.6,1.1,1.1,49,307.2,9
339.2,1.1,1.1,86,310.5,37.5
330.4,1.1,1.1,75,308.4,22.7
345.7,1.1,1.1,91,316.5,46.6
321.4,1.2,1.1,36,307.1,10.6
333.3,1.2,1.1,80,306.3,26.9
332.9,1.2,1.1,77,306.4,27.9
319.6,1.2,1.1,35,303,12.3
367,0.39,0.44,high,313.2,15.3
367,0.4,0.45,low,325.6,66.4
367,0.41,0.45,high,314.9,13.6
367,0.4,0.45,high,316,66.4
345.4,0.4,0.44,nominal,305.6,4.5
329,0.38,0.36,nominal,297.5,2.1
314.1,0.61,0.71,nominal,296,4.1
328.4,0.38,0.36,nominal,299.8,3.4
346.2,0.54,0.42,nominal,308.6,8.1
307.7,0.39,0.36,nominal,297.2,2.3
309.3,0.39,0.36,nominal,296.5,2.8
330.7,0.39,0.44,low,302.9,3.8
314,0.39,0.36,nominal,298.8,3.4
311.1,0.39,0.36,nominal,298.5,3.4
339.6,0.39,0.36,nominal,302.6,3.4
315.3,0.39,0.36,nominal,298.8,3
354.3,0.42,0.45,nominal,307.6,23.4
310.4,0.39,0.36,nominal,297.1,1.7
311.8,0.39,0.36,nominal,295.3,1.9
367,0.41,0.45,high,314.9,16
367,0.41,0.45,high,316.9,12.3
367,0.43,0.46,high,306.8,7.9
309.1,0.39,0.36,nominal,296,1.4
307.2,0.38,0.36,nominal,292,1
315.5,0.38,0.36,nominal,296.5,1.5
335.5,0.38,0.36,nominal,299.1,3.4
325,0.38,0.36,nominal,297.2,3.4
305.9,0.38,0.36,nominal,290.9,0.8
302.4,0.38,0.36,nominal,292.4,0.7
309.9,0.38,0.36,nominal,292.3,0.7
304.1,1.9,1.3,55,293.2,12
315.3,1.8,1.3,91,294.1,27.1
313.8,1.7,1.3,87,295.4,23.5
306.9,1.8,1.3,62,295.7,14.1
309,1.7,1.3,74,296.4,15.1
304,0.52,0.42,nominal,293.8,1.3
311.1,354,342,nominal,293.1,2.1
316.5,2.5,1.5,93,295.4,48.6
303.2,0.48,0.4,nominal,292,0.8
367,0.4,0.6,high,305.9,20.7
328.1,3,1.6,76,303.5,82.1
317.6,1.8,1.3,95,294.3,34.1
329.8,3,1.6,78,303.5,93.8
320.2,1.8,1.3,100,294.8,40.5
339.4,0.54,0.42,nominal,305,32
334.7,1.1,1.1,77,303.4,28.2
333.8,0.42,0.38,low,306.5,24.3
307.5,0.54,0.42,nominal,294.4,2.7
329.4,1.1,1,79,303,20.7
323.3,1.1,1,58,304.8,10.6
329.3,1.1,1,79,303.9,20.5
314.7,0.54,0.42,nominal,295.6,1.7
308.1,0.58,0.52,nominal,293.7,1.4
328.1,3,1.6,76,303.5,82.1
329.8,3,1.6,78,303.5,93.8
317.6,1.8,1.3,95,294.3,34.1
334.7,1.1,1.1,77,303.4,28.2
333.8,0.42,0.38,low,306.5,24.3
327,1.1,1.1,75,304.8,18.6
367,0.41,0.61,high,301.4,17.1
352.6,0.41,0.61,nominal,299.7,10.6
303.2,0.48,0.4,nominal,292,0.9
304.8,1.1,1.1,54,294.6,5.5
333.1,0.44,0.39,low,301.5,6.6
316.1,0.4,0.37,nominal,294.4,2
316.4,1,1,40,299.8,8.2
318.8,1,1,58,299.9,10.3
305,0.4,0.37,nominal,293.4,0.8
345.1,0.39,0.44,nominal,307,3.3
335.3,0.38,0.44,nominal,305.6,3.3
341.4,0.52,0.5,nominal,299.9,6.4
325.6,1,1,74,302.3,14.3
337.6,0.52,0.5,nominal,299,5.9
334.2,1,1,83,303.2,27.9
346.8,1,1,93,302.4,50.5
339.5,0.54,0.51,nominal,300.3,7.1
341.3,0.54,0.51,nominal,298.7,5.4
330.1,0.39,0.44,low,301.8,4.7
338.8,0.39,0.44,nominal,303.2,4.7
