@relation testcase-model_predicted

@attribute latitude numeric
@attribute longitude numeric
@attribute brightness numeric
@attribute scan numeric
@attribute track numeric
@attribute confidence {20,42,49,33,53,52,35,44,17,60,15,36,62,57,63,64,58,61,59,69,70,72,73,78,79,85,18,50,31,32,0,23,43,48,41,46,39,66,55,54,19,38,65,22,51,47,67,71,45,26,68,76,24,75,74,77,80,82,84,81,83,86,88,89,91,93,96,100}
@attribute bright_t31 numeric
@attribute frp numeric

@data
15.58806,103.42903,296.1,0.4,0.6,50,274.6,0.6
19.62124,98.48495,296.1,0.32,0.55,50,283.9,0.4
19.65979,98.52029,296.8,0.5,0.41,50,284.2,0.7
19.60013,98.44276,297.7,0.32,0.55,50,284.7,0.2
19.60013,98.44276,297.7,0.32,0.55,50,284.7,0.3
19.01664,98.28243,297.7,0.5,0.41,50,286.3,0.4
15.8701,105.36171,298,0.39,0.36,50,275.1,0.6
17.8276,103.43221,298.1,0.46,0.39,50,277.5,0.5
15.87813,98.93153,298.3,0.4,0.44,50,285.5,0.3
18.89993,98.45116,298.7,0.51,0.41,50,288.2,0.4
19.13118,98.21043,298.8,0.49,0.4,50,287.5,0.4
19.07877,98.25547,299,0.5,0.41,50,285,0.5
19.09965,98.202,299,0.49,0.41,50,286.5,0.4
19.0296,98.38733,299.1,0.32,0.55,50,288.3,0.4
19.0296,98.38733,299.1,0.32,0.55,50,288.3,0.5
19.58653,98.3,299.2,0.33,0.55,50,287.9,0.3
19.58653,98.3,299.2,0.33,0.55,50,287.9,0.4
10.20836,99.09559,299.3,0.44,0.46,50,271.7,0.6
10.20836,99.09559,299.3,0.44,0.46,50,271.7,0.7
19.22569,98.56953,299.4,0.51,0.41,50,288.9,0.6
15.87061,105.36319,299.5,0.53,0.67,50,283.4,0.8
19.62623,98.4863,299.5,0.32,0.55,50,286.4,0.4
19.62623,98.4863,299.5,0.32,0.55,50,286.4,0.8
18.65292,98.21268,299.5,0.33,0.55,50,289.3,0.4
18.90215,98.16343,299.5,0.49,0.41,50,289.3,0.8
18.73757,98.16026,299.6,0.5,0.41,50,288.8,0.2
19.08845,98.11514,299.6,0.49,0.4,50,288.9,0.7
19.05926,98.23691,299.6,0.33,0.55,50,289.3,0.6
19.43987,101.05288,299.7,0.47,0.48,50,288.3,0.7
19.61172,98.52142,299.7,0.5,0.41,50,288.9,0.6
19.13731,98.19754,299.9,0.49,0.4,50,286.9,0.4
18.90258,98.43346,299.9,0.63,0.54,50,289,0.9
18.90258,98.43346,299.9,0.63,0.54,50,289.1,0.9
18.87939,98.39394,299.9,0.51,0.41,50,289.5,0.7
19.58657,97.96269,300,0.35,0.57,50,288.7,0.5
15.15342,98.68105,300,0.55,0.51,50,288.7,1.7
14.39488,98.57928,300,0.4,0.45,50,289.4,1.3
19.15212,98.58678,300.1,0.52,0.41,50,289.6,1.9
19.58939,98.29914,300.2,0.33,0.55,50,288.2,0.7
19.58939,98.29914,300.2,0.33,0.55,50,288.2,0.8
18.46181,98.47977,300.2,0.62,0.54,50,289.1,0.9
19.15405,98.26899,300.2,0.33,0.55,50,289.3,0.8
18.64336,98.46883,300.2,0.52,0.41,50,289.3,0.7
18.09956,98.0863,300.2,0.5,0.41,50,289.8,0.8
18.8999,98.45739,300.3,0.63,0.54,50,289,0.4
18.8999,98.45739,300.3,0.63,0.54,50,289.1,0.5
19.0134,98.17403,300.3,0.49,0.4,50,289.3,0.7
19.0001,98.10401,300.4,0.49,0.4,50,286.6,0.5
18.97802,98.19984,300.4,0.33,0.55,50,288.4,0.5
18.99555,98.41744,300.4,0.32,0.54,50,289.8,0.8
16.97968,98.74124,300.5,0.57,0.52,50,290.3,0.8
19.5462,97.95378,300.6,0.47,0.4,50,287.4,0.5
17.04968,98.84913,300.6,0.56,0.52,50,289,0.6
15.80513,98.93976,300.6,0.4,0.45,50,289.3,0.5
18.04518,98.10303,300.6,0.5,0.41,50,290.3,0.9
16.32235,101.44252,300.7,0.57,0.52,50,287.9,0.7
18.94408,98.20547,300.7,0.5,0.41,50,288.9,0.7
19.17289,98.09946,300.7,0.34,0.56,50,289.9,0.8
19.01654,98.62649,300.7,0.52,0.42,50,290.7,0.8
18.9514,98.2066,300.8,0.33,0.55,50,289.8,1.1
19.12054,98.10025,300.8,0.34,0.56,50,290.2,0.4
18.91842,98.22086,300.9,0.5,0.41,50,288.6,0.4
16.43801,99.0107,300.9,0.4,0.44,50,289.9,0.6
18.99668,98.21877,301,0.33,0.55,50,287.8,0.8
19.41741,98.54348,301,0.63,0.54,50,289,1.6
19.41741,98.54348,301,0.63,0.54,50,289,1.7
16.34063,99.06353,301,0.54,0.5,50,289.7,0.9
8.4108,99.19804,301.2,0.41,0.45,50,283.1,0.4
19.15715,98.26956,301.2,0.33,0.55,50,289.9,0.4
19.15715,98.26956,301.2,0.33,0.55,50,289.9,0.5
18.95397,98.20424,301.3,0.33,0.55,50,289.3,1.5
19.50886,98.27102,301.3,0.49,0.4,50,289.6,0.6
17.94899,98.21062,301.3,0.51,0.41,50,290.3,0.7
18.6893,98.09656,301.3,0.49,0.41,50,290.7,0.8
18.63209,98.18922,301.4,0.33,0.55,50,289.2,0.3
19.171,98.2851,301.4,0.33,0.55,50,289.2,0.3
19.15887,98.27205,301.4,0.33,0.55,50,290.2,0.6
15.80088,98.99224,301.4,0.53,0.5,50,290.4,1.9
15.38226,98.93576,301.4,0.41,0.45,50,291.3,1.3
18.63209,98.18922,301.5,0.33,0.55,50,289.2,0.4
19.15887,98.27205,301.5,0.33,0.55,50,290.2,0.6
16.97977,98.74622,301.5,0.57,0.52,50,290.7,0.7
16.97977,98.74622,301.5,0.57,0.52,50,290.7,0.8
18.8617,98.38524,301.5,0.51,0.41,50,291,0.7
18.66035,98.61141,301.5,0.53,0.42,50,291.3,0.9
19.07511,98.16894,301.6,0.49,0.4,50,288.6,1
16.39668,98.9931,301.6,0.54,0.51,50,289.3,0.9
17.71364,98.30482,301.6,0.52,0.42,50,290.7,1
15.01075,98.39148,301.6,0.39,0.44,50,291.4,0.4
17.75676,98.32562,301.6,0.52,0.42,50,291.4,0.6
19.47039,98.3206,301.7,0.33,0.55,50,289.3,0.5
15.25433,98.92688,301.7,0.41,0.45,50,290.4,0.7
19.01115,98.63482,301.7,0.52,0.42,50,290.4,0.9
17.48282,98.27409,301.7,0.62,0.54,50,290.8,1
17.53814,98.47396,301.7,0.54,0.42,50,291.4,0.7
17.43507,98.33434,301.8,0.62,0.54,50,290.3,0.9
17.43507,98.33434,301.8,0.62,0.54,50,290.3,1
15.25834,98.92804,301.8,0.41,0.45,50,290.5,0.3
15.78839,98.98615,301.8,0.41,0.45,50,290.6,1.5
18.94663,98.40595,301.8,0.51,0.41,50,291,0.5
17.48708,98.28129,301.8,0.62,0.54,50,291.3,1.1
15.67233,98.55507,301.8,0.39,0.44,50,291.6,0.3
18.77148,98.07652,301.8,0.49,0.4,50,291.6,1.1
19.14018,98.15968,301.9,0.33,0.55,50,290.3,0.7
18.85643,99.37579,301.9,0.38,0.43,50,290.4,1
15.38261,98.9359,301.9,0.41,0.45,50,291.2,1.1
17.86974,98.07353,301.9,0.32,0.55,50,291.7,0.6
17.86974,98.07353,301.9,0.32,0.55,50,291.7,0.7
15.54704,98.67951,301.9,0.39,0.44,50,291.7,0.8
19.0179,98.08888,302,0.49,0.4,50,286.5,0.8
19.60557,98.53445,302.1,0.5,0.41,50,288.1,0.7
16.43794,99.02241,302.1,0.54,0.51,50,289,0.7
16.43794,99.02241,302.1,0.54,0.51,50,289,0.8
15.61095,99.10566,302.1,0.52,0.5,50,290,1
15.61095,99.10566,302.1,0.52,0.5,50,290,1.1
18.89793,98.15119,302.2,0.49,0.41,50,287.7,0.5
19.24602,98.58582,302.2,0.51,0.41,50,290.2,0.6
15.15518,98.68613,302.2,0.4,0.44,50,290.4,1.9
16.06942,98.98702,302.2,0.4,0.44,50,291.1,1.6
17.40238,98.36665,302.2,0.53,0.42,50,291.4,0.8
17.46984,98.16189,302.2,0.63,0.54,50,291.5,1.2
15.59173,98.86784,302.2,0.4,0.45,50,291.6,0.6
14.49382,98.52991,302.2,0.55,0.51,50,291.6,0.6
14.49382,98.52991,302.2,0.55,0.51,50,291.6,0.7
15.99065,98.75311,302.2,0.39,0.44,50,291.9,0.5
17.03981,98.85019,302.2,0.57,0.43,50,292,0.7
20.02491,99.63269,302.3,0.55,0.51,50,287.9,0.9
19.56358,98.42609,302.3,0.5,0.41,50,290.3,1
14.66644,98.44325,302.3,0.39,0.44,50,291,1.2
15.67413,98.80828,302.3,0.4,0.44,50,291.9,0.8
19.365,98.326,302.4,1.8,1.3,42,288.4,9.5
19.05314,98.20682,302.4,0.49,0.41,50,288.7,1.3
17.7648,98.46075,302.4,0.61,0.53,50,289.7,0.9
17.7648,98.46075,302.4,0.61,0.53,50,289.7,1
15.07733,98.69873,302.4,0.4,0.44,50,290,0.6
15.7891,98.98965,302.4,0.53,0.5,50,290.6,0.9
15.7891,98.98965,302.4,0.53,0.5,50,290.6,1
19.72342,99.50061,302.4,0.57,0.43,50,290.7,0.7
14.5709,98.48347,302.4,0.4,0.44,50,291.4,0.2
15.3008,98.94531,302.4,0.41,0.45,50,291.4,1
15.65221,98.66856,302.4,0.39,0.44,50,291.6,0.9
15.73629,99.20356,302.5,0.42,0.45,50,288.5,1.2
19.4848,101.0593,302.5,0.44,0.46,50,289.8,1.3
18.75884,98.72304,302.5,0.6,0.53,50,291.2,0.8
18.75884,98.72304,302.5,0.6,0.53,50,291.2,0.9
18.89673,98.57546,302.5,0.62,0.54,50,291.2,1.8
18.89673,98.57546,302.5,0.62,0.54,50,291.2,1.9
17.54004,98.47623,302.5,0.61,0.53,50,291.7,0.6
17.54004,98.47623,302.5,0.61,0.53,50,291.7,0.7
19.453,98.297,302.5,1.8,1.3,49,291.8,8.4
15.68291,98.56127,302.5,0.56,0.52,50,292,0.8
15.41877,98.61678,302.6,0.39,0.44,50,290.1,0.9
15.54237,98.86344,302.6,0.4,0.45,50,290.7,0.5
17.62456,98.23592,302.6,0.52,0.41,50,291.4,2.2
16.87346,98.83377,302.6,0.38,0.43,50,291.5,0.6
15.12604,98.66347,302.6,0.4,0.44,50,291.7,0.7
15.22841,98.65549,302.6,0.4,0.44,50,291.7,0.7
15.68291,98.56127,302.6,0.56,0.52,50,292,0.9
18.58262,98.52415,302.6,0.52,0.42,50,292.2,1.5
17.76538,98.46104,302.7,0.61,0.54,50,289.4,0.4
17.76538,98.46104,302.7,0.61,0.54,50,289.4,0.6
16.88445,98.8532,302.7,0.56,0.52,50,291.4,1.1
16.88445,98.8532,302.7,0.56,0.52,50,291.4,1.2
19.14223,99.29596,302.7,0.56,0.43,50,291.9,1.7
15.229,98.65226,302.7,0.4,0.44,50,292.1,0.7
18.90787,98.42857,302.8,0.51,0.41,50,288.3,0.3
19.21337,100.5663,302.8,0.47,0.47,50,289.4,1.1
15.14765,98.68898,302.8,0.55,0.51,50,290.2,1
15.14765,98.68898,302.8,0.55,0.51,50,290.2,1.1
19.38948,100.53838,302.8,0.44,0.46,50,290.3,1.4
15.79173,98.99091,302.8,0.41,0.45,50,290.9,1.1
17.40615,98.36753,302.8,0.53,0.42,50,291.2,1.2
15.127,98.663,302.8,1.7,1.3,33,291.8,7.5
15.54115,98.689,302.8,0.39,0.44,50,291.9,0.6
18.997,98.21575,302.9,0.33,0.55,50,287.6,0.9
18.6471,98.4696,302.9,0.52,0.41,50,288.6,0.7
19.48007,101.06268,302.9,0.44,0.46,50,289,1.7
19.48007,101.06268,302.9,0.44,0.46,50,289,1.8
15.91358,99.10294,302.9,0.41,0.45,50,289.4,2.1
15.1228,98.65802,302.9,0.55,0.51,50,290.5,1
19.60303,98.5367,303,0.5,0.41,50,288.3,0.8
18.63948,98.57548,303,0.52,0.42,50,291,0.8
15.92617,98.71236,303,0.39,0.44,50,291.3,1.2
18.74106,98.03443,303,0.49,0.4,50,292.4,0.5
18.97289,98.19938,303.1,0.33,0.55,50,288.3,0.5
17.44858,98.51591,303.1,0.6,0.53,50,289.7,0.7
17.44858,98.51591,303.1,0.6,0.53,50,289.7,0.8
17.04487,98.84883,303.1,0.56,0.52,50,289.8,0.6
19.36522,100.61888,303.1,0.45,0.47,50,290,1.2
15.27698,98.6311,303.1,0.55,0.51,50,291.3,1.3
15.27698,98.6311,303.1,0.55,0.51,50,291.3,1.4
18.6099,98.54625,303.1,0.52,0.42,50,291.6,1.1
14.72894,98.43264,303.1,0.56,0.51,50,291.6,1.1
14.72894,98.43263,303.1,0.56,0.51,50,291.6,1.2
19.535,98.214,303.1,1.8,1.3,53,292.6,8.1
15.733,99.183,303.1,1.9,1.3,53,293,10.4
20.01062,99.18893,303.2,0.59,0.52,50,287.8,1.3
18.85707,99.37229,303.2,0.38,0.43,50,289.1,0.6
19.59017,98.29903,303.2,0.49,0.4,50,290.2,1.2
18.09663,98.08026,303.2,0.33,0.55,50,290.8,0.6
18.09663,98.08026,303.2,0.33,0.55,50,290.8,0.7
18.76046,100.54949,303.2,0.46,0.47,50,290.9,0.8
