latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-11.892,142.489,318.6,4.3,1.9,2020-11-01,01:30,T,62,6.0NRT,298.5,55.5,D
-2.443,133.141,327.1,1,1,2020-11-01,01:30,T,61,6.0NRT,298.7,19.6,D
-4.511,136.846,313.4,1.2,1.1,2020-11-01,01:30,T,51,6.0NRT,295,8.7,D
-7.443,138.391,318,1.7,1.3,2020-11-01,01:30,T,40,6.0NRT,301.1,14.6,D
-7.899,139.93,317.6,2.3,1.5,2020-11-01,01:30,T,28,6.0NRT,301.5,26.4,D
-7.877,139.17,334.3,2,1.4,2020-11-01,01:30,T,86,6.0NRT,300.1,77.4,D
-8.552,141.359,308.6,3.1,1.7,2020-11-01,01:30,T,31,6.0NRT,290,22.6,D
-8.347,137.984,316.6,1.7,1.3,2020-11-01,01:30,T,46,6.0NRT,302.1,15.5,D
-8.349,137.999,318.5,1.7,1.3,2020-11-01,01:30,T,34,6.0NRT,303.3,18.2,D
-7.953,131.246,321.9,1.1,1,2020-11-01,01:30,T,41,6.0NRT,303.6,9.5,D
-11.894,142.484,318.8,4.3,1.9,2020-11-01,01:30,T,68,6.0NRT,298.5,58.5,D
-8.799,125.875,333.5,2.5,1.5,2020-11-01,01:30,T,84,6.0NRT,302.7,97,D
-8.802,125.895,317.5,2.5,1.5,2020-11-01,01:30,T,60,6.0NRT,302,29.2,D
-8.792,125.869,323.1,2.5,1.5,2020-11-01,01:30,T,74,6.0NRT,303,48.6,D
-8.796,125.89,323.8,2.5,1.5,2020-11-01,01:30,T,77,6.0NRT,302.7,52.5,D
-8.985,125.677,323.9,2.5,1.5,2020-11-01,01:30,T,68,6.0NRT,306.8,42.9,D
-8.508,122.797,315.5,4.3,1.9,2020-11-01,01:30,T,0,6.0NRT,293.3,67.7,D
23.326,116.738,331.5,1,1,2020-11-01,03:00,T,0,6.0NRT,298.1,26.7,D
23.317,116.736,311.7,1,1,2020-11-01,03:00,T,54,6.0NRT,296.8,6.2,D
26.346,119.825,301.3,1.3,1.1,2020-11-01,03:00,T,14,6.0NRT,287.7,2.8,D
