latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-7.96628,131.13303,337.7,0.44,0.38,2020-10-30,04:30,1,low,2.0NRT,303.6,9.9,D
-7.9054,138.80269,352.6,0.39,0.44,2020-10-30,04:30,1,nominal,2.0NRT,296.7,8.9,D
-10.02409,124.41329,345.6,0.41,0.61,2020-10-30,04:30,1,nominal,2.0NRT,293.3,5.3,D
-10.02265,124.4131,345.9,0.41,0.61,2020-10-30,04:30,1,nominal,2.0NRT,293.8,6.3,D
-7.94641,138.83574,345.1,0.39,0.44,2020-10-30,04:30,1,nominal,2.0NRT,298.4,7.1,D
-7.94522,138.84279,335.8,0.39,0.44,2020-10-30,04:30,1,nominal,2.0NRT,294.2,7,D
-7.94582,138.83926,367,0.39,0.44,2020-10-30,04:30,1,high,2.0NRT,298.2,7,D
-7.94924,138.84346,336.4,0.39,0.44,2020-10-30,04:30,1,nominal,2.0NRT,293,7,D
-7.95564,138.82999,344.4,0.39,0.44,2020-10-30,04:30,1,nominal,2.0NRT,301.2,4.6,D
-7.95966,138.83064,339.9,0.39,0.44,2020-10-30,04:30,1,nominal,2.0NRT,301.8,4.6,D
-7.95907,138.83417,332.5,0.39,0.44,2020-10-30,04:30,1,nominal,2.0NRT,300,7.4,D
-10.10999,124.02391,339.1,0.44,0.62,2020-10-30,04:30,1,nominal,2.0NRT,291.2,3.5,D
-7.99344,138.87613,346.3,0.39,0.44,2020-10-30,04:30,1,nominal,2.0NRT,297.9,8,D
-10.16556,123.9521,340.1,0.45,0.63,2020-10-30,04:30,1,nominal,2.0NRT,291.5,4.9,D
-8.12538,138.12038,335.4,0.53,0.42,2020-10-30,04:30,1,nominal,2.0NRT,297.3,3.9,D
-10.17422,123.92971,345.3,0.45,0.63,2020-10-30,04:30,1,nominal,2.0NRT,289,3.5,D
-10.14157,124.23587,350.6,0.43,0.62,2020-10-30,04:30,1,nominal,2.0NRT,294.7,7.7,D
-8.12214,138.1889,336.5,0.53,0.42,2020-10-30,04:30,1,nominal,2.0NRT,300.7,4.5,D
-10.18216,123.95982,345.8,0.45,0.63,2020-10-30,04:30,1,nominal,2.0NRT,291.9,7.7,D
-10.1817,123.96353,344.3,0.45,0.63,2020-10-30,04:30,1,nominal,2.0NRT,291.8,8.2,D
-7.97444,139.118,353.8,0.41,0.45,2020-10-30,04:30,1,nominal,2.0NRT,297.2,11.2,D
-10.18124,123.96712,367,0.45,0.63,2020-10-30,04:30,1,high,2.0NRT,292.8,8.2,D
-10.18744,123.96438,338.6,0.45,0.63,2020-10-30,04:30,1,nominal,2.0NRT,292.3,8.2,D
-10.17607,124.05442,346.7,0.44,0.62,2020-10-30,04:30,1,nominal,2.0NRT,290.5,4.8,D
-7.97733,139.12602,348.6,0.41,0.45,2020-10-30,04:30,1,nominal,2.0NRT,297.5,6.3,D
-10.18316,124.04433,332.3,0.44,0.62,2020-10-30,04:30,1,nominal,2.0NRT,290.6,2.4,D
-7.98203,139.12303,345.7,0.41,0.45,2020-10-30,04:30,1,nominal,2.0NRT,297.2,10,D
-7.98142,139.12671,342.2,0.41,0.45,2020-10-30,04:30,1,nominal,2.0NRT,297.7,6.4,D
-10.19819,123.97195,338.8,0.44,0.63,2020-10-30,04:30,1,nominal,2.0NRT,291.2,9.9,D
-10.19671,123.98366,339.5,0.44,0.63,2020-10-30,04:30,1,nominal,2.0NRT,290.7,7.6,D
