latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-9.95021,148.04749,326.8,0.32,0.55,2020-11-01,03:00,N,nominal,2.0NRT,292.5,2.3,D
-10.18399,148.43492,327.6,0.61,0.54,2020-11-01,03:00,N,nominal,2.0NRT,292.3,2.5,D
-9.79865,149.54678,348,0.51,0.49,2020-11-01,03:00,N,nominal,2.0NRT,288.4,14.4,D
-9.79293,149.55496,333.5,0.51,0.49,2020-11-01,03:00,N,nominal,2.0NRT,289.3,8,D
-9.79902,149.54831,335.1,0.51,0.49,2020-11-01,03:00,N,nominal,2.0NRT,288.1,6.9,D
-9.79324,149.55646,340.8,0.51,0.49,2020-11-01,03:00,N,nominal,2.0NRT,289.6,8.2,D
-9.94982,148.05049,336.2,0.32,0.55,2020-11-01,03:00,N,nominal,2.0NRT,292.8,2.3,D
-8.01117,147.23587,329.1,0.35,0.56,2020-11-01,03:06,N,nominal,2.0NRT,288.5,5.1,D
-6.64981,146.65961,326.6,0.36,0.58,2020-11-01,03:06,N,nominal,2.0NRT,290.8,1.9,D
-6.55679,146.71904,367,0.36,0.57,2020-11-01,03:06,N,high,2.0NRT,293.4,36.9,D
-6.55723,146.71577,339.4,0.36,0.57,2020-11-01,03:06,N,nominal,2.0NRT,296.3,36.9,D
-6.55354,146.71712,367,0.36,0.57,2020-11-01,03:06,N,high,2.0NRT,292.4,20,D
-6.554,146.71384,347.2,0.36,0.57,2020-11-01,03:06,N,nominal,2.0NRT,292.4,20,D
-8.94392,125.7791,340.5,0.39,0.44,2020-11-01,04:42,N,nominal,2.0NRT,300.1,6.6,D
-10.0972,123.95629,330.9,0.53,0.5,2020-11-01,04:42,N,low,2.0NRT,301.9,2.9,D
-10.1019,123.95665,341.7,0.53,0.5,2020-11-01,04:42,N,nominal,2.0NRT,303.2,4,D
-10.07925,124.1339,351.2,0.52,0.5,2020-11-01,04:42,N,nominal,2.0NRT,304.7,8.2,D
-10.03873,124.44888,343.9,0.49,0.49,2020-11-01,04:42,N,nominal,2.0NRT,296.6,10.6,D
-7.96173,138.06944,342.2,0.56,0.51,2020-11-01,04:42,N,nominal,2.0NRT,302.5,13.5,D
-7.71368,139.46161,344.7,0.35,0.57,2020-11-01,04:42,N,nominal,2.0NRT,292.5,5.6,D
-7.7131,139.46483,352,0.35,0.57,2020-11-01,04:42,N,nominal,2.0NRT,293.6,8.5,D
-10.05564,124.38926,340.7,0.5,0.49,2020-11-01,04:42,N,nominal,2.0NRT,298.3,7.8,D
-10.05028,124.46578,333.8,0.49,0.49,2020-11-01,04:42,N,nominal,2.0NRT,295.9,3.2,D
-10.0647,124.39049,335.3,0.5,0.49,2020-11-01,04:42,N,nominal,2.0NRT,297.9,2.6,D
-7.72594,139.48343,348.2,0.35,0.57,2020-11-01,04:42,N,nominal,2.0NRT,293.9,11.2,D
-7.72537,139.48665,367,0.35,0.57,2020-11-01,04:42,N,high,2.0NRT,295.4,14,D
-10.12004,124.00016,330.9,0.53,0.5,2020-11-01,04:42,N,low,2.0NRT,301.3,5,D
-10.1194,124.00514,342.1,0.53,0.5,2020-11-01,04:42,N,nominal,2.0NRT,303.7,11.6,D
-10.05938,124.46633,335.1,0.49,0.49,2020-11-01,04:42,N,nominal,2.0NRT,296.4,4,D
-7.85189,138.80537,351.1,0.63,0.54,2020-11-01,04:42,N,nominal,2.0NRT,302.3,46.5,D
-7.85087,138.81111,343.6,0.63,0.54,2020-11-01,04:42,N,nominal,2.0NRT,299.8,46.5,D
-7.73175,139.48114,367,0.35,0.57,2020-11-01,04:42,N,high,2.0NRT,294.1,11.2,D
-7.73061,139.48749,367,0.35,0.57,2020-11-01,04:42,N,high,2.0NRT,294.5,14,D
