latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-0.85762,133.20123,337.2,0.55,0.68,2020-10-30,03:42,N,nominal,1.0NRT,288.9,6,D
-9.09828,141.31787,334.2,0.41,0.45,2020-10-30,03:42,N,nominal,1.0NRT,297.2,2.6,D
-8.74845,142.37096,337,0.53,0.42,2020-10-30,03:42,N,low,1.0NRT,299.2,10.4,D
-8.645,141.40344,334.3,0.4,0.44,2020-10-30,03:42,N,nominal,1.0NRT,297.5,2.7,D
-8.64089,141.40288,333.6,0.4,0.44,2020-10-30,03:42,N,nominal,1.0NRT,294.9,2.7,D
-7.70693,147.55888,326.2,0.39,0.36,2020-10-30,03:42,N,nominal,1.0NRT,292.7,1.8,D
-8.64461,140.99957,340.9,0.43,0.46,2020-10-30,03:42,N,nominal,1.0NRT,298.6,6.8,D
-8.6404,140.99896,348,0.43,0.46,2020-10-30,03:42,N,nominal,1.0NRT,297.8,6.8,D
-8.48446,141.37375,352.7,0.4,0.44,2020-10-30,03:42,N,nominal,1.0NRT,300.4,8.3,D
-8.48498,141.37006,336.4,0.4,0.44,2020-10-30,03:42,N,nominal,1.0NRT,297,8.3,D
-8.54076,140.75951,329.1,0.44,0.46,2020-10-30,03:42,N,nominal,1.0NRT,296.7,4.5,D
-8.418,140.83647,341.8,0.43,0.46,2020-10-30,03:42,N,nominal,1.0NRT,297.7,4.9,D
-8.42075,140.81665,346.3,0.43,0.46,2020-10-30,03:42,N,nominal,1.0NRT,297.8,7.3,D
-8.14224,141.75066,334.3,0.57,0.43,2020-10-30,03:42,N,low,1.0NRT,298.7,14.9,D
-8.26674,140.7468,334.1,0.44,0.46,2020-10-30,03:42,N,nominal,1.0NRT,299.9,5.5,D
-8.26754,140.74728,335.6,0.44,0.46,2020-10-30,03:42,N,nominal,1.0NRT,300.8,3.5,D
-8.27761,140.09937,339.9,0.48,0.48,2020-10-30,03:42,N,nominal,1.0NRT,298.3,3.7,D
-7.88266,142.69856,338.7,0.5,0.41,2020-10-30,03:42,N,low,1.0NRT,297.1,12,D
-7.88261,142.69588,333.7,0.5,0.41,2020-10-30,03:42,N,low,1.0NRT,296.9,12.7,D
-7.90636,142.34607,335,0.52,0.41,2020-10-30,03:42,N,nominal,1.0NRT,289.8,7.3,D
-8.34749,137.71843,352.3,0.35,0.57,2020-10-30,03:42,N,nominal,1.0NRT,300.9,5.4,D
-8.3479,137.71521,346.4,0.35,0.57,2020-10-30,03:42,N,nominal,1.0NRT,300,5.4,D
-8.34181,137.72096,332.1,0.35,0.57,2020-10-30,03:42,N,nominal,1.0NRT,299.8,5.7,D
-8.06346,139.78961,342.5,0.5,0.49,2020-10-30,03:42,N,nominal,1.0NRT,298.1,11.6,D
-11.88935,142.47321,349.5,0.57,0.43,2020-10-30,03:42,N,nominal,1.0NRT,301.5,15.2,D
-11.88534,142.47264,355.5,0.57,0.43,2020-10-30,03:42,N,nominal,1.0NRT,303,34.7,D
-11.87926,142.48793,351.7,0.57,0.43,2020-10-30,03:42,N,nominal,1.0NRT,300.9,19.8,D
-11.88762,142.47607,337.8,0.57,0.43,2020-10-30,03:42,N,low,1.0NRT,300.9,26,D
-11.88835,142.47079,340.8,0.57,0.43,2020-10-30,03:42,N,nominal,1.0NRT,302.7,26,D
-11.88362,142.47552,336.7,0.57,0.43,2020-10-30,03:42,N,low,1.0NRT,299.6,8.1,D
-11.87743,142.49078,353.7,0.57,0.43,2020-10-30,03:42,N,nominal,1.0NRT,301.2,23.1,D
-11.87816,142.48549,342.6,0.57,0.43,2020-10-30,03:42,N,nominal,1.0NRT,301.8,31.2,D
-11.87342,142.49025,330.1,0.57,0.43,2020-10-30,03:42,N,low,1.0NRT,300.2,5,D
-11.87415,142.48495,341.9,0.57,0.43,2020-10-30,03:42,N,nominal,1.0NRT,299.3,9,D
-11.86797,142.50018,333.3,0.57,0.43,2020-10-30,03:42,N,nominal,1.0NRT,300.7,3.4,D
